진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2024,남,외래,HA153,1,1,1,84420
2024,남,외래,HA154,1,1,1,101940
2024,남,외래,HA181,3732,3967,6897,146549160
2024,남,외래,HA182,26,27,30,975840
2024,남,외래,HA200,1,1,1,170130
2024,남,외래,HA280,210693,256394,267159,26752312634
2024,남,외래,HA330,1588,1600,1854,135987150
2024,남,외래,HA340,182,224,222,12676705
2024,남,외래,HA360,1638,2328,2490,92062220
2024,남,외래,HA401,11918,12273,12279,1167143536
2024,남,외래,HA402,2082,2254,2254,320730660
2024,남,외래,HA404,185,225,225,17221760
2024,남,외래,HA405,39664,42175,42181,3983653910
2024,남,외래,HA406,6837,7375,7375,1041537300
2024,남,외래,HA408,156,170,170,13767920
2024,남,외래,HA409,18016,18610,18611,1751345690
2024,남,외래,HA410,812,822,822,116072600
2024,남,외래,HA412,6,7,7,475440
2024,남,외래,HA413,33810,35005,35011,3298640244
2024,남,외래,HA414,2942,3157,3157,446434156
2024,남,외래,HA416,908,1079,1079,82126240
2024,남,외래,HA424,171348,195089,196297,18579930104
2024,남,외래,HA425,83823,103965,104000,9905031304
2024,남,외래,HA434,519972,613523,616007,58849093835
2024,남,외래,HA435,121708,141848,142985,11180922371
2024,남,외래,HA441,2988,3340,3342,208309070
2024,남,외래,HA443,4090,5312,5313,393120650
2024,남,외래,HA444,10301,12638,12672,829609820
2024,남,외래,HA445,16455,19811,19850,1309262320
2024,남,외래,HA446,1780,1943,1964,137937320
2024,남,외래,HA447,285,316,319,20550400
2024,남,외래,HA448,496,557,559,36182000
2024,남,외래,HA449,119,125,125,10094370
2024,남,외래,HA451,291472,319251,319827,25442350146
2024,남,외래,HA452,18,18,18,2083680
2024,남,외래,HA453,9971,11583,11323,869414500
2024,남,외래,HA455,9,9,9,980820
2024,남,외래,HA456,237323,252787,253075,26190682779
2024,남,외래,HA457,67717,72650,72969,7045174316
2024,남,외래,HA458,69123,73247,73608,7076209620
2024,남,외래,HA459,10503,10695,10699,1221116140
2024,남,외래,HA461,8371,8717,8711,1059412254
2024,남,외래,HA463,71921,95667,95669,13477614098
2024,남,외래,HA464,387167,601035,600963,83241981555
2024,남,외래,HA465,588356,755036,755023,106488000000
2024,남,외래,HA466,354,375,376,55028900
2024,남,외래,HA467,457,494,495,68521690
2024,남,외래,HA468,1483,1679,1682,235072840
2024,남,외래,HA469,28,32,32,5158030
2024,남,외래,HA471,1,1,1,103593
2024,남,외래,HA475,3,3,3,367290
2024,남,외래,HA479,1,1,1,29500
2024,남,외래,HA496,591555,663314,664105,36562459241
2024,남,외래,HA497,100884,114193,115997,8133740256
2024,남,외래,HA501,303,309,309,49595320
2024,남,외래,HA502,4320,4460,4461,717592370
2024,남,외래,HA503,21,21,21,3504350
2024,남,외래,HA504,1206,1356,1356,235750620
2024,남,외래,HA505,2878,2959,2959,460189370
2024,남,외래,HA506,2,2,2,320020
2024,남,외래,HA507,91,93,93,14576780
2024,남,외래,HA508,271,283,283,45478680
2024,남,외래,HA509,5,5,5,800050
2024,남,외래,HA511,3076,3178,3207,422012620
2024,남,외래,HA513,7506,8225,8227,1284912990
2024,남,외래,HA514,10499,11585,11576,1806751648
2024,남,외래,HA515,431151,559631,559643,87318609327
2024,남,외래,HA516,765,786,786,131681320
2024,남,외래,HA517,1323,1384,1385,214381980
2024,남,외래,HA518,1520,1564,1570,242737640
2024,남,외래,HA519,47,47,47,8405750
2024,남,외래,HA521,14198,15348,15354,2007104700
2024,남,외래,HA523,4056,4889,4890,739324894
2024,남,외래,HA524,27544,29298,29305,4600903980
2024,남,외래,HA525,26973,30622,30626,4712818010
2024,남,외래,HA526,10516,10841,10888,1801068940
2024,남,외래,HA527,34963,36247,36433,5615777600
2024,남,외래,HA528,27858,28844,28996,4463714570
2024,남,외래,HA529,839,857,857,155165020
2024,남,외래,HA531,67685,68901,68404,8981604554
2024,남,외래,HA533,41421,42039,41627,6501484967
2024,남,외래,HA534,113913,116246,116379,18035444663
2024,남,외래,HA535,17930,19192,19190,2999816570
2024,남,외래,HA536,468,468,468,77258710
2024,남,외래,HA537,1278,1310,1311,200138217
2024,남,외래,HA538,19880,21111,21102,3213952048
2024,남,외래,HA539,5,5,5,919700
2024,남,외래,HA546,29,29,29,4791380
2024,남,외래,HA547,438,496,497,82118390
2024,남,외래,HA548,51,52,53,8082710
2024,남,외래,HA549,5,5,5,919700
2024,남,외래,HA551,45,46,46,6373640
2024,남,외래,HA554,1019,1019,1019,177026710
2024,남,외래,HA558,1,1,1,112910
2024,남,외래,HA561,1,1,1,132990
2024,남,외래,HA591,592,614,614,98120470
2024,남,외래,HA592,15527,16458,16464,2579043980
2024,남,외래,HA593,103,107,107,16931920
2024,남,외래,HA601,7,7,7,1125865
2024,남,외래,HA602,9,9,9,1551050
2024,남,외래,HA604,4,4,5,1643115
2024,남,외래,HA605,283,293,296,49645120
2024,남,외래,HA614,1,1,1,468910
2024,남,외래,HA615,6,6,6,1762215
2024,남,외래,HA616,9,9,9,3058625
2024,남,외래,HA617,18,18,18,8741295
2024,남,외래,HA618,16,16,14,4196310
2024,남,외래,HA619,4,4,4,1149000
2024,남,외래,HA621,13,13,9,3867880
2024,남,외래,HA622,256,280,267,57916320
2024,남,외래,HA624,134,135,128,48121525
2024,남,외래,HA625,3,3,3,867440
2024,남,외래,HA626,10,10,9,2983980
2024,남,외래,HA627,1,1,1,118290
2024,남,외래,HA628,141,142,136,30935425
2024,남,외래,HA630,2,2,2,669270
2024,남,외래,HA632,1,1,1,414000
2024,남,외래,HA633,31,38,27,14815655
2024,남,외래,HA634,3,3,2,706290
2024,남,외래,HA635,5,5,3,1593040
2024,남,외래,HA637,2,2,1,466835
2024,남,외래,HA641,39,40,34,10855365
2024,남,외래,HA642,19,20,14,4492640
2024,남,외래,HA643,13977,28048,17852,6216045030
2024,남,외래,HA651,150,221,205,52510278
2024,남,외래,HA652,151,222,190,58428161
2024,남,외래,HA670,819,822,823,518446195
2024,남,외래,HA680,1,1,1,1018400
2024,남,외래,HA705,769,816,819,332583680
2024,남,외래,HA711,2327,3195,2654,765446875
2024,남,외래,HA712,695,775,590,218703155
2024,남,외래,HA721,35,35,31,6537615
2024,남,외래,HA726,4,4,4,1492385
2024,남,외래,HA727,3,3,3,1212090
2024,남,외래,HA729,96,99,97,60578365
2024,남,외래,HA731,1635,2186,2023,496390020
2024,남,외래,HA732,4,4,3,763345
2024,남,외래,HA741,90,93,93,55058015
2024,남,외래,HA742,43,62,62,13696360
2024,남,외래,HA743,13,13,15,5777070
2024,남,외래,HA771,15,15,15,2626050
2024,남,외래,HB011,971186,1577579,2001703,9307914210
2024,남,외래,HB021,1340584,1726739,1927598,6746563575
2024,남,외래,HB031,533825,597886,630128,1567941355
2024,남,외래,HB041,259447,281177,293515,830758429
2024,남,외래,HC020,2,2,2,330820
2024,남,외래,HC040,364,364,364,39508690
2024,남,외래,HC050,1113,1148,1148,220059027
2024,남,외래,HC061,4285,4352,4356,215317360
2024,남,외래,HC062,31,31,31,1813530
2024,남,외래,HC071,986,1004,1004,114112240
2024,남,외래,HC073,14,15,15,3315250
2024,남,외래,HC074,165,166,166,25751840
2024,남,외래,HC080,19,19,19,1473070
2024,남,외래,HC081,464,465,465,45641250
2024,남,외래,HC082,130,131,131,11609840
2024,남,외래,HC083,606,709,709,108016720
2024,남,외래,HC087,52,52,52,6401200
2024,남,외래,HC111,5,5,5,980000
2024,남,외래,HC112,83,83,83,5706450
2024,남,외래,HC120,1283,1346,1346,269973150
2024,남,외래,HC121,172,175,175,6129450
2024,남,외래,HC141,57,58,58,7787660
2024,남,외래,HC142,22,22,22,1835680
2024,남,외래,HC151,5,5,5,929850
2024,남,외래,HC152,8,8,8,1124080
2024,남,외래,HC153,383,396,396,146089700
2024,남,외래,HC154,71,76,76,7091330
2024,남,외래,HC155,11,11,11,1697630
2024,남,외래,HC161,15,15,15,4008580
2024,남,외래,HC163,4,4,4,451880
2024,남,외래,HC170,27,27,27,4759800
2024,남,외래,HC181,5474,6424,6424,1097754600
2024,남,외래,HC182,1267,1354,1338,123864600
2024,남,외래,HC183,80,83,83,9052090
2024,남,외래,HC184,1721,1783,1784,178627720
2024,남,외래,HC186,337,375,375,18373780
2024,남,외래,HC190,444,445,445,49089630
2024,남,외래,HC191,91658,121027,121095,11785668395
2024,남,외래,HC192,945,976,976,134106225
2024,남,외래,HC193,51,53,32,2924860
2024,남,외래,HC201,4,4,4,503960
2024,남,외래,HC203,1,1,1,183960
2024,남,외래,HC210,16,16,16,1832150
2024,남,외래,HC230,625,636,636,160956620
2024,남,외래,HC242,6,6,6,586200
2024,남,외래,HC250,26,27,27,2424060
2024,남,외래,HC263,76,79,79,12781150
2024,남,외래,HC273,292,323,323,49792290
2024,남,외래,HC274,20,20,20,3076800
2024,남,외래,HC275,58,105,105,11305240
2024,남,외래,HC276,3,3,3,363690
2024,남,외래,HC281,1119,1178,1183,191176930
2024,남,외래,HC282,45,45,45,7129800
2024,남,외래,HC291,2822,2837,2837,498983640
2024,남,외래,HC292,4651,4660,4660,709750400
2024,남,외래,HC293,65,66,66,7261320
2024,남,외래,HC294,1066,1123,1123,123205170
2024,남,외래,HC295,4474,4684,4692,707551940
2024,남,외래,HC296,1418,1429,1433,272758030
2024,남,외래,HC297,201,201,201,42043170
2024,남,외래,HC298,4124,4132,4132,796785090
2024,남,외래,HC299,451,502,520,56097030
2024,남,외래,HC301,122,122,122,17597280
2024,남,외래,HC302,12570,12645,12645,1965150640
2024,남,외래,HC303,167,168,168,24474910
2024,남,외래,HC304,1424,1425,1425,295858500
2024,남,외래,HC305,11263,11339,11339,2220331680
2024,남,외래,HC311,221,237,237,37482230
2024,남,외래,HC312,2040,2253,2253,492952390
2024,남,외래,HC314,269,303,303,10217430
2024,남,외래,HC321,31,31,31,5202110
2024,남,외래,HC322,5,5,5,1289000
2024,남,외래,HC330,21,21,21,4798240
2024,남,외래,HC341,6746,6791,6797,285204345
2024,남,외래,HC342,240561,246827,246840,12003963492
2024,남,외래,HC343,5019,5046,5046,196885928
2024,남,외래,HC344,6079,6162,6172,173145100
2024,남,외래,HC345,12,13,13,237770
2024,남,외래,HC346,3,3,3,119430
2024,남,외래,HD018,3159,3459,3982,1276351286
2024,남,외래,HD019,4643,4948,5082,8130466602
2024,남,외래,HD023,1,1,1,946019
2024,남,외래,HD031,23987,31811,32819,2348349118
2024,남,외래,HD032,1568,1915,2009,498834838
2024,남,외래,HD033,27348,33183,33649,3869451483
2024,남,외래,HD040,233,233,233,714611932
2024,남,외래,HD041,22745,23697,24278,38767089728
2024,남,외래,HD071,583,593,593,45062738
2024,남,외래,HD072,10,24,24,3863448
2024,남,외래,HD073,1,1,1,182100
2024,남,외래,HD074,1121,1225,1225,206121102
2024,남,외래,HD075,509,601,601,105195160
2024,남,외래,HD076,9,10,10,1950283
2024,남,외래,HD096,13,157,157,46661342
2024,남,외래,HD101,61,67,78,3302116
2024,남,외래,HD102,2,2,2,50513
2024,남,외래,HD103,310,319,353,45284937
2024,남,외래,HD104,33,33,36,2760940
2024,남,외래,HD105,135,136,150,911341236
2024,남,외래,HD106,753,769,769,5509218125
2024,남,외래,HD110,83,302,318,313600326
2024,남,외래,HD111,3664,15485,15889,15710674824
2024,남,외래,HD112,197,220,230,971902138
2024,남,외래,HD113,173,185,185,998454990
2024,남,외래,HD114,115,126,126,622046209
2024,남,외래,HD115,286,305,305,1492001510
2024,남,외래,HD122,197,3145,3335,2494568433
2024,남,외래,HD123,340,6180,6180,5940103973
2024,남,외래,HD124,544,4376,4376,5181100232
2024,남,외래,HD141,15236,350627,352640,154330000000
2024,남,외래,HD142,70,1131,1166,694678441
2024,남,외래,HD143,10705,175760,178529,101865000000
2024,남,외래,HD144,2884,20162,21413,15031694125
2024,남,외래,HD211,293,1235,1240,1217074118
2024,남,외래,HD212,5,5,5,20796239
2024,남,외래,HD418,441,460,468,89966314
2024,남,외래,HD419,45,49,49,46526103
2024,남,외래,HD420,295,318,320,1164095585
2024,남,외래,HD421,23,24,24,10071000
2024,남,외래,HD423,10,10,10,3731870
2024,남,외래,HD441,8371,9567,9603,9188875936
2024,남,외래,HD451,196,2654,2840,172178753
2024,남,외래,HD452,4,53,106,8409881
2024,남,외래,HD453,215,1657,1879,147894543
2024,남,외래,HD454,26,104,118,11501114
2024,남,외래,HD461,1080,21045,21530,5152045489
2024,남,외래,HD462,6,69,69,22252089
2024,남,외래,HD463,2238,18661,21614,6709296360
2024,남,외래,HD464,634,2979,3579,1373238578
2024,남,외래,HE108,1,1,1,
2024,남,외래,HE109,1,1,1,
2024,남,외래,HE111,1,1,1,300000
2024,남,외래,HE115,3544,3783,3968,934868575
2024,남,외래,HE116,726,735,747,187699680
2024,남,외래,HE117,498,507,517,115753710
2024,남,외래,HE118,753,791,793,182154015
2024,남,외래,HE119,605,606,607,154868170
2024,남,외래,HE120,28970,30356,30770,7845012078
2024,남,외래,HE121,1327,1363,1391,334848560
2024,남,외래,HE122,566,592,604,117103560
2024,남,외래,HE123,938,1018,1058,233261080
2024,남,외래,HE139,12,12,11,2480310
2024,남,외래,HE142,37,38,39,3471780
2024,남,외래,HE215,594,751,750,257704154
2024,남,외래,HE216,105,132,132,45283700
2024,남,외래,HE217,162,203,203,70327620
2024,남,외래,HE218,696,928,929,319036850
2024,남,외래,HE219,689,765,765,263695700
2024,남,외래,HE220,596,726,726,255474640
2024,남,외래,HE221,153,171,171,59198040
2024,남,외래,HE222,1091,1501,1501,515131310
2024,남,외래,HE223,1935,2672,2675,918683720
2024,남,외래,HE239,22,22,22,7078300
2024,남,외래,HE415,24,24,24,3239590
2024,남,외래,HE416,3,3,3,413790
2024,남,외래,HE417,1,1,1,37620
2024,남,외래,HE418,4,4,4,451410
2024,남,외래,HE420,118,118,124,16865080
2024,남,외래,HE421,3,3,3,401250
2024,남,외래,HE422,10,10,10,1137020
2024,남,외래,HE423,14,15,15,1680210
2024,남,외래,HE515,9,9,9,3771630
2024,남,외래,HE516,10,10,10,4266900
2024,남,외래,HE518,3,3,3,1257210
2024,남,외래,HE519,9,9,9,3771630
2024,남,외래,HE520,255,258,261,109377270
2024,남,외래,HE521,9,9,9,3771630
2024,남,외래,HE522,1,1,1,419070
2024,남,외래,HE523,3,3,3,1257210
2024,남,외래,HF101,30868,31470,29781,5143603676
2024,남,외래,HF102,654,674,656,170268010
2024,남,외래,HF103,106,108,82,14055000
2024,남,외래,HF104,162,167,167,66411090
2024,남,외래,HF105,4076,4380,4048,1226734055
2024,남,외래,HF106,7,7,7,2363130
2024,남,외래,HF107,156,157,157,67329460
2024,남,외래,HF201,220908,257430,256513,24503683305
2024,남,외래,HF202,15674,20452,20451,3029299455
2024,남,외래,HF203,474,707,707,72140030
2024,남,외래,HF305,344,384,381,143142295
2024,남,외래,HG011,3982,4532,4533,7026150
2024,남,외래,HG012,16544,21217,21308,49434560
2024,남,외래,HG013,12983,16069,16083,49857300
